AD_Type,price,surface,adress,image_link
Terrain,2 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5659242_uploaded_image1_1765040799.jpg
Terrain,4 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5658366_uploaded_image1_1764985239.jpg
Terrain,28 000 000,150 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657859_uploaded_image1_1764955479.jpg
Terrain,8 500 000,180,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5657856_uploaded_image1_1764955407.jpg
Terrain,1 400,2072 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657741_uploaded_image1_1764950678.jpg
Terrain,15 000 000,150 m2,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_5656305_uploaded_image1_1764874212.jpg
Terrain,12 000 000,150,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5655585_uploaded_image1_1764848934.jpg
Terrains,2 500 000,180 m2,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5629022_uploaded_image1_1763511359.jpg
Terrain,70 000 000,150 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5608882_uploaded_image1_1762440921.jpg
Terrain,550 000,200,"Thies, Sénégal",https://images.coinafrique.com/thumb_5653107_uploaded_image1_1764719244.jpg
Terrain,Prix sur demande,300 m2,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5652275_uploaded_image1_1764684122.jpg
Terrains,14 000 000,150,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5652209_uploaded_image1_1764682071.jpg
Terrain,3 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5651921_uploaded_image1_1764673315.jpg
Vente,457 000 000,2000 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5651391_uploaded_image1_1764647405.jpg
Terrain,20 000 000,150 m2,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5651379_uploaded_image1_1764641524.jpg
Terrain,16 500 000,150 m2,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5651374_uploaded_image1_1764640979.jpg
Terrains,650 000 000,500,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5609473_uploaded_image1_1762468885.jpg
Terrains,135 000 000,234,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5612227_uploaded_image1_1762627799.jpg
Terrain,3 000 000,300,"Malikounda, Sénégal",https://images.coinafrique.com/thumb_5650922_uploaded_image2_1764619431.jpeg
Terrain,4 000 000,150 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5650377_uploaded_image1_1764598681.jpg
Terrain,4 000 000,300 m2,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5650236_uploaded_image1_1764593344.jpg
Terrain,18 000 000,150,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5650145_uploaded_image1_1764590696.jpg
Terrain,38 000 000,150,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5650050_uploaded_image1_1764587980.jpg
terrain,86 900 000,167 m2,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5649861_uploaded_image1_1764581822.jpg
Terrain,75 000 000,150 m2,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5604334_uploaded_image1_1762240933.jpg
Terrain,56 000 000,300 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5649394_uploaded_image1_1764554127.jpg
